"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000"
100004522726,239,1980,1984,NA,0,0,NA,NA,NA,NA,NA,NA,1,3,5,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020017527,239,1977,2000,0,0,0,0,0,0,10,13,18,62,99,146,28,36,93,116,61,10,20,56,18,4,21,5,9,5,3,11,20,21
100016271670,239,1978,1990,NA,0,0,0,NA,NA,NA,12,44,12,4,8,2,5,23,7,19,23,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007515843,239,1978,1979,NA,0,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001637445,239,1987,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,1,5,24,7,5,5,15,20,21,23,38,10
100005371692,239,1981,1994,NA,0,0,0,0,NA,NA,NA,NA,NA,1,22,25,30,72,28,2,14,2,5,7,2,2,4,NA,NA,NA,NA,NA,NA
100020919363,239,1977,1981,0,0,NA,NA,NA,NA,6,8,18,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100014100982,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,12,24,3,7
100011642097,239,1985,1999,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,9,4,20,9,7,11,5,4,10,6,5,12,2,3,NA
100011456160,239,1977,1979,0,0,NA,NA,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009472337,239,1977,2000,0,0,0,0,0,0,19,18,34,77,21,52,50,27,16,2,4,22,36,39,8,14,9,12,4,7,14,27,3,2
100017394368,239,1996,1999,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,17,33,25,NA
100020681006,239,2000,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100000663152,239,1977,2000,0,0,0,0,0,0,19,21,37,16,4,43,13,33,19,2,8,25,38,74,93,12,20,9,10,10,14,18,66,66
100016183324,239,1977,1988,0,0,0,0,NA,NA,2,6,4,22,50,23,16,7,3,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001098034,239,1997,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,3
100009502417,239,1994,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,11,5,15,25,8
100009889403,239,1977,1993,0,0,0,0,0,NA,10,24,5,30,24,24,45,26,73,158,269,30,16,25,19,31,36,NA,NA,NA,NA,NA,NA,NA
100007886415,239,1977,1997,0,0,0,0,0,NA,4,11,26,65,7,25,50,63,55,9,4,3,12,12,21,5,10,5,9,5,0,NA,NA,NA
