"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000"
100004522726,239,1980,1987,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,2,11,9,13,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020017527,239,1977,2000,0,0,0,0,0,0,6,39,60,99,28,82,115,79,85,19,51,92,42,25,12,16,19,24,4,8,20,37,27,11
100016271670,239,1978,1991,NA,0,0,0,NA,NA,NA,0,7,31,20,14,3,17,9,16,30,10,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007515843,239,1978,1980,NA,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001637445,239,1988,1991,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
100005371692,239,1982,1983,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020919363,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,4,6
100014100982,239,1983,1989,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,16,27,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011642097,239,1979,1980,NA,0,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011456160,239,1977,1979,0,0,NA,NA,NA,NA,4,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100009472337,239,1977,2000,0,0,0,0,0,0,10,43,76,149,88,33,28,26,13,23,27,15,4,2,2,1,10,15,39,9,20,25,19,8
100017394368,239,1997,1998,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA
100020681006,239,1980,2000,NA,0,0,0,0,0,NA,NA,NA,22,72,152,102,149,106,23,50,3,2,2,2,2,4,9,18,16,17,19,8,7
100000663152,239,1977,1982,0,0,NA,NA,NA,NA,3,2,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100016183324,239,1990,1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,1,5,1,3,NA,NA,NA,NA,NA
100001098034,239,2000,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
100009502417,239,1994,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,4,4,2,4
100009889403,239,1977,1993,0,0,0,0,0,NA,4,26,25,67,41,88,63,105,7,11,17,32,3,2,3,1,3,NA,NA,NA,NA,NA,NA,NA
100007886415,239,1977,1997,0,0,0,0,0,NA,5,7,18,60,107,97,72,58,37,54,112,126,234,127,92,136,125,138,68,17,43,NA,NA,NA
100010198402,239,1986,1989,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
