"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000"
100004522726,239,1980,1987,NA,0,0,NA,NA,NA,NA,NA,NA,9,12,7,14,6,13,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020017527,239,1977,2000,0,0,0,0,0,0,7,33,84,19,31,133,210,215,211,172,5,30,41,13,33,16,4,21,42,19,12,5,3,0
100016271670,239,1978,1991,NA,0,0,0,NA,NA,NA,1,17,35,53,91,120,78,94,115,85,56,17,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007515843,239,1978,1980,NA,0,NA,NA,NA,NA,NA,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001637445,239,1988,1991,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
100005371692,239,1982,1984,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020919363,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,28,23,4,1,2
100014100982,239,1986,1990,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011642097,239,1977,1979,0,0,NA,NA,NA,NA,2,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011456160,239,1977,2000,0,0,0,0,0,0,19,5,41,59,98,181,52,47,82,68,40,13,28,26,21,44,87,73,80,12,18,23,8,16
100009472337,239,1996,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16,25,2,1
100017394368,239,1977,1978,0,0,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020681006,239,1980,2000,NA,0,0,0,0,0,NA,NA,NA,8,54,28,12,38,22,39,30,60,44,42,39,19,44,16,12,14,12,12,15,8
100000663152,239,1977,1982,0,0,NA,NA,NA,NA,3,1,3,6,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100016183324,239,1990,1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,10,22,17,16,NA,NA,NA,NA,NA
100001098034,239,1998,2000,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2
100009502417,239,1995,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,9,14,17,7
100009889403,239,1977,1990,0,0,0,0,NA,NA,14,34,69,32,30,55,20,18,4,16,12,12,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100007886415,239,1977,1997,0,0,0,0,0,NA,10,3,18,44,35,64,20,63,70,78,15,3,6,23,35,65,27,20,13,19,16,NA,NA,NA
100010198402,239,1986,1989,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100018973855,239,1997,1999,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,NA
100009979257,239,1991,1995,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,5,1,2,NA,NA,NA,NA,NA
100020342155,239,1977,1978,0,0,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100003342546,239,1978,1985,NA,0,0,NA,NA,NA,NA,0,10,31,7,14,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100020614100,239,1992,1994,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA
100002963881,239,1997,2000,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1
100001038359,239,1981,1983,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100017561765,239,1984,1986,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
