"lbdnum","sic3","firstyear","lastyear","mu_1977","mu_1982","mu_1987","mu_1992","mu_1997","mu_2002"
100000414325,542,1997,2000,NA,NA,NA,NA,0,0
100004502920,542,1977,1997,1,1,1,1,1,NA
100003609846,542,1991,1997,NA,NA,NA,0,0,NA
100006973221,542,1988,1991,NA,NA,NA,0,NA,NA
100012509424,542,1977,1990,0,0,0,0,NA,NA
100010988377,542,1983,1984,NA,NA,0,NA,NA,NA
100013587483,542,1997,2000,NA,NA,NA,NA,0,0
100018583316,542,1977,1977,0,NA,NA,NA,NA,NA
100019706842,542,2000,2000,NA,NA,NA,NA,NA,0
100005330290,542,1981,1983,NA,0,0,NA,NA,NA
100002651435,542,1979,2000,NA,0,0,0,0,0
100020575285,542,1980,2000,NA,0,0,0,0,0
100000799438,542,1987,1989,NA,NA,0,0,NA,NA
100018713380,542,1999,2000,NA,NA,NA,NA,NA,0
100009776849,542,1979,2000,NA,0,0,0,0,0
100008570425,542,1977,1984,0,0,0,NA,NA,NA
100013517672,542,1987,1990,NA,NA,0,0,NA,NA
100001325790,542,1977,1991,0,0,0,0,NA,NA
100012158219,542,2000,2000,NA,NA,NA,NA,NA,0
100010464285,542,1977,1979,0,0,NA,NA,NA,NA
100004858312,542,1977,1979,0,0,NA,NA,NA,NA
100009424507,542,1977,1982,0,0,NA,NA,NA,NA
100018493660,542,2000,2000,NA,NA,NA,NA,NA,0
100021071621,542,1977,1987,0,0,0,NA,NA,NA
100018257819,542,1979,2000,NA,0,0,0,0,0
100002990090,542,1977,1977,0,NA,NA,NA,NA,NA
100018114651,542,1977,1988,0,0,0,0,NA,NA
100008228018,542,1988,2000,NA,NA,NA,0,0,0
100015077238,542,1977,2000,1,1,1,1,1,1
100003537147,542,1977,1977,0,NA,NA,NA,NA,NA
100008712084,542,1977,1982,0,0,NA,NA,NA,NA
100010990100,542,1977,1979,0,0,NA,NA,NA,NA
100007694917,542,1999,2000,NA,NA,NA,NA,NA,0
100018816387,542,1978,1980,NA,0,NA,NA,NA,NA
100001283517,542,1996,2000,NA,NA,NA,NA,0,0
100009523011,542,1977,1979,0,0,NA,NA,NA,NA
100006836147,542,1999,2000,NA,NA,NA,NA,NA,0
100009150126,542,1977,1979,0,0,NA,NA,NA,NA
100006679218,542,1978,1989,NA,0,0,0,NA,NA
100000967855,542,1989,2000,NA,NA,NA,0,0,0
100004372544,542,1990,2000,NA,NA,NA,0,0,0
100012655485,542,1984,1988,NA,NA,0,0,NA,NA
100013150996,542,1992,2000,NA,NA,NA,0,0,0
